Trend_Name;Tag_Name;Tag_Color;Tag_LowLimit;Tag_HighLimit;Tag_Unit;Tag_Type;Address
100310OG01999T24_L031;100310OG01999T24_L031ZU3VE1_M1;#00FF00;-1;10;;true;001:24_72_DO
100310OG01999T24_L031;100310OG01999T24_L031FO1VE1_M1;#33CCCC;-2;10;;true;001:24_73_DO
100310OG01999T24_L031;100310OG01999T24_L031FB1FB1_M3;#008080;-3;3;;true;001:24_70_BI_31
100310OG01999T24_L031;100310OG01999T24_L031FA1XS1_M1;#FFCC00;15;35;°C;;001:24_94_AO
100310OG01999T24_L031;100310OG01999T24_L031FA1XS2_M1;#808000;-20;40;°C;;001:24_95_AO
100310OG01999T24_L031;100310OG01999T24_L031FA1XS3_M1;#FF9900;15;35;°C;;001:24_96_AO
100310OG01999T24_L031;100310OG01999T24_L031FB1FB1_M2;#FFCC99;-4;4;;true;001:24_69_BI_31
100310OG01999T24_L031;100310OG01999T24_L031KL1LK1_M1;#CC99FF;-5;5;;true;001:24_64_BI_31
100310OG01999T30_L040;100310OG01999T30_L040LU1TM3_M1;#FFCC00;15;35;°C;;001:1_3_AI
100310OG01999T30_L040;100310OG01999T30_L040LU1XS2_M1;#FF9900;15;35;°C;;001:1_89_AO
100310OG01999T30_H030;100310OG01999T30_L040LU1TM1_M1;#FF0000;10;40;°C;;001:1_1_AI
100310OG01999T30_L040;100310OG01999T30_L040LU1XS1_M1;#FFFF00;15;35;°C;;001:1_87_AO
100310OG01999T30_L040;100310OG01999T30_L040LU1TM2_M1;#FFFF99;15;35;°C;;001:1_2_AI
100310OG01999T30_H030;100310OG01999T30_H030HE1TM1_M1;#FFCC00;15;35;°C;;001:1_0_AI
100310OG01999T30_H030;100310OG01999T30_H030HE1RV1_Y1;#000000;-10;110;%;true;001:1_20_AI
100310OG01999T30_H030;100310OG01999T30_H030HE1PU1_S1;#00FF00;-1;2;;true;001:1_74_BI_31
100310EG00182T31_L041;100310EG00182T31_L041WR1LK1_Y1;#000000;-10;110;%;true;001:21130_180_AI
100310EG00182T31_L041;100310EG00182T31_L041AN2RV1_Y1;#808080;-15;115;%;true;001:21130_21_AI
100310EG00182T31_L041;100310EG00182T31_L041AN1RV1_Y1;#969696;-20;120;%;true;001:21130_22_AI
100310EG00182T31_L041;100310EG00182T31_L041AN1TM1_M1;#FFCC00;15;50;°C;;001:21130_1_AI
100310EG00182T31_L041;100310EG00182T31_L041AN1TM2_M1;#FFFF00;15;50;°C;;001:21130_4_AI
100310EG00182T31_L041;100310EG00182T31_L041AN2TM3_M1;#FF9900;15;50;°C;;001:21130_2_AI
100310EG00182T31_L041;100310EG00182T31_L041AN2TM2_M1;#33CCCC;15;50;°C;;001:21130_3_AI
100310EG00182T31_L041;100310EG00182T31_L041AN2TM1_M1;#FFCC99;15;50;°C;;001:21130_0_AI
100310EG00024T33_H033;100310EG00024T33_H033HG1TM1_M1;#FF0000;20;70;°C;;001:21160_0_AI
100310EG00024T33_H033;100310EG00024T33_H033HG1TM2_M1;#FF0000;20;70;°C;;001:21160_1_AI
100310EG00024T33_K033;100310EG00024T33_K033SP1XS1_M1;#969696;20;100;°C;;001:21160_100_AO
100310EG00024T33_K033;100310EG00024T33_K033SP1XS2_M1;#FF00FF;20;100;°C;;001:21160_101_AO
100310EG00024T33_H033;100310EG00024T33_H033HG1XC1_M1;#FF6600;20;70;°C;true;001:21160_108_AI
100310EG00024T33_H033;100310EG00024T33_H033HG1TM3_M1;#0000FF;20;70;°C;;001:21160_2_AI
100310EG00024T33_H033;100310EG00024T33_H033HG1RV1_Y1;#000000;-10;110;%;true;001:21160_20_AI
100310EG00024T33_K033;100310EG00024T33_K033KW1TM1_M1;#FF9900;0;50;°C;;001:21160_3_AI
100310EG00024T33_K033;100310EG00024T33_K033KW1TM2_M1;#00FFFF;0;50;°C;;001:21160_4_AI
100310EG00024T33_K033;100310EG00024T33_K033AG1TM1_M1;#C0C0C0;20;100;°C;;001:21160_5_AI
100310EG00024T33_K033;100310EG00024T33_K033AG1TM2_M1;#808080;20;100;°C;;001:21160_6_AI
100310EG00024T33_K033;100310EG00024T33_K033AG1KO1_M3;#008000;-1;2;;true;001:21160_85_BI_31
100310EG00024T34_L047;100310EG00024T34_L047FO3YR1_Y1;#FF8080;-10;110;%;true;001:21170_23_AI
100310EG00024T34_L047;100310EG00024T34_L047LE1RV1_Y1;#000000;-15;115;%;true;001:21170_21_AI
100310EG00024T34_L047;100310EG00024T34_L047RM1TM1_M1;#FFCC00;15;35;°C;;001:21170_1_AI
100310EG00024T34_L047;100310EG00024T34_L047ZU3YR1_Y1;#808080;-20;120;%;true;001:21170_22_AI
100310EG00024T34_L047;100310EG00024T34_L047ZU4TM1_M1;#FF0000;10;40;°C;;001:21170_0_AI
100310EG00024T34_L047;100310EG00024T34_L047ZU4XC1_M1;#FF6600;10;40;°C;true;001:21170_104_AI
100310UG01999T35_L048;100310UG01999T35_L048AB1TM1_M1;#FFCC00;15;35;°C;;001:21180_1_AI
100310UG01999T35_L048;100310UG01999T35_L048BY1LK1_Y1;#000000;-10;110;%;true;001:21180_20_AI
100310UG01999T35_L048;100310UG01999T35_L048FO3VE1_M1;#00FF00;-1;2;;true;001:21180_77_BI_31
100310UG01999T35_L048;100310UG01999T35_L048LE1RV1_Y1;#808080;-15;115;%;true;001:21180_22_AI
100310UG01999T35_L048;100310UG01999T35_L048LK1RV1_Y1;#C0C0C0;-20;120;%;true;001:21180_21_AI
100310UG01999T35_L048;100310UG01999T35_L048ZU3VE1_M1;#33CCCC;-2;3;;true;001:21180_74_BI_31
100310UG01999T35_L048;100310UG01999T35_L048ZU4TM1_M1;#FF0000;10;40;°C;;001:21180_0_AI
100310UG01999T35_R001;100310UG01999T35_R001FB1XC1_M1;#FF6600;15;35;°C;;001:21181_81_AI
100310UG01999T35_R001;100310UG01999T35_R001FB1XS1_M1;#969696;15;35;°C;;001:21181_80_AO
100310UG01999T35_R001;100310UG01999T35_R001KG1RV1_Y1;#000000;-10;110;%;true;001:21181_20_AI
100310UG01999T35_R001;100310UG01999T35_R001KG1RV2_Y1;#808080;-20;120;%;true;001:21181_21_AI
100310UG01999T35_R001;100310UG01999T35_R001KO1FB1_M2;#800080;-3;15;K;;001:21181_10_AI
100310UG01999T35_R001;100310UG01999T35_R001TM1FB1_M1;#FFCC00;15;35;°C;;001:21181_9_AI
100310UG01999T35_R002;100310UG01999T35_R002FB1XC1_M1;#FF6600;15;35;°C;;001:21182_81_AI
100310UG01999T35_R002;100310UG01999T35_R002FB1XS1_M1;#969696;15;35;°C;;001:21182_80_AO
100310UG01999T35_R002;100310UG01999T35_R002KG1RV1_Y1;#000000;-10;110;%;true;001:21182_20_AI
100310UG01999T35_R002;100310UG01999T35_R002KG1RV2_Y1;#808080;-20;120;%;true;001:21182_21_AI
100310UG01999T35_R002;100310UG01999T35_R002KO1FB1_M2;#800080;-3;15;K;;001:21182_10_AI
100310UG01999T35_R002;100310UG01999T35_R002TM1FB1_M1;#FFCC00;15;35;°C;;001:21182_9_AI
100310UG01999T35_R003;100310UG01999T35_R003FB1XC1_M1;#FF6600;15;35;°C;;001:21183_81_AI
100310UG01999T35_R003;100310UG01999T35_R003FB1XS1_M1;#969696;15;35;°C;;001:21183_80_AO
100310UG01999T35_R003;100310UG01999T35_R003KG1RV1_Y1;#000000;-10;110;%;true;001:21183_20_AI
100310UG01999T35_R003;100310UG01999T35_R003KG1RV2_Y1;#808080;-20;120;%;true;001:21183_21_AI
100310UG01999T35_R003;100310UG01999T35_R003KO1FB1_M2;#800080;-3;15;K;;001:21183_10_AI
100310UG01999T35_R003;100310UG01999T35_R003TM1FB1_M1;#FFCC00;15;35;°C;;001:21183_9_AI
100310UG01999T35_R004;100310UG01999T35_R004FB1XC1_M1;#FF6600;15;35;°C;;001:21184_81_AI
100310UG01999T35_R004;100310UG01999T35_R004FB1XS1_M1;#969696;15;35;°C;;001:21184_80_AO
100310UG01999T35_R004;100310UG01999T35_R004KG1RV1_Y1;#000000;-10;110;%;true;001:21184_20_AI
100310UG01999T35_R004;100310UG01999T35_R004KG1RV2_Y1;#808080;-20;120;%;true;001:21184_21_AI
100310UG01999T35_R004;100310UG01999T35_R004KO1FB1_M2;#800080;-3;15;K;;001:21184_10_AI
100310UG01999T35_R004;100310UG01999T35_R004TM1FB1_M1;#FFCC00;15;35;°C;;001:21184_9_AI
100310UG01999T35_R005;100310UG01999T35_R005FB1XC1_M1;#FF6600;15;35;°C;;001:21185_81_AI
100310UG01999T35_R005;100310UG01999T35_R005FB1XS1_M1;#969696;15;35;°C;;001:21185_80_AO
100310UG01999T35_R005;100310UG01999T35_R005KG1RV1_Y1;#000000;-10;110;%;true;001:21185_20_AI
100310UG01999T35_R005;100310UG01999T35_R005KG1RV2_Y1;#808080;-20;120;%;true;001:21185_21_AI
100310UG01999T35_R005;100310UG01999T35_R005KO1FB1_M2;#800080;-3;15;K;;001:21185_10_AI
100310UG01999T35_R005;100310UG01999T35_R005TM1FB1_M1;#FFCC00;15;35;°C;;001:21185_9_AI
100310EG00999T32_L044;100310EG00999T32_L044AB1TM1_M1;#FFCC00;15;35;°C;;001:21141_3_AI
100310EG00999T32_L044;100310EG00999T32_L044BY1LK1_Y1;#000000;-10;110;%;true;001:21141_20_AI
100310EG00999T32_L044;100310EG00999T32_L044LE1RV1_Y1;#808080;-15;115;%;true;001:21141_22_AI
100310EG00999T32_L044;100310EG00999T32_L044TM1XC0_M1;#FF6600;10;40;°C;;001:21141_122_AI
100310EG00999T32_L044;100310EG00999T32_L044ZU4TM1_M1;#FF0000;10;40;°C;;001:21141_2_AI
100310EG00999T32_L045;100310EG00999T32_L045AB1TM1_M1;#FFCC00;15;35;°C;;001:21142_3_AI
100310EG00999T32_L045;100310EG00999T32_L045BY1LK1_Y1;#000000;-10;110;%;true;001:21142_20_AI
100310EG00999T32_L045;100310EG00999T32_L045LE1RV1_Y1;#808080;15;115;%;true;001:21142_22_AI
100310EG00999T32_L045;100310EG00999T32_L045TM1XC0_M1;#FF6600;10;40;°C;;001:21142_122_AI
100310EG00999T32_L045;100310EG00999T32_L045ZU4TM1_M1;#FF0000;10;40;°C;;001:21142_2_AI
100310EG00999T32_L046;100310EG00999T32_L046AB1TM1_M1;#FFCC00;15;35;°C;;001:21143_3_AI
100310EG00999T32_L046;100310EG00999T32_L046BY1LK1_Y1;#000000;-10;110;%;true;001:21143_20_AI
100310EG00999T32_L046;100310EG00999T32_L046LE1RV1_Y1;#808080;-15;115;%;true;001:21143_22_AI
100310EG00999T32_L046;100310EG00999T32_L046TM1XC0_M1;#FF6600;10;40;°C;;001:21143_118_AI
100310EG00999T32_L046;100310EG00999T32_L046ZU4TM1_M1;#FF0000;10;40;°C;;001:21143_2_AI
100310EG00999T32_L043;100310EG00999T32_L043TM1XC0_M1;#FF6600;10;40;°C;;001:21140_132_AI
